Module,Priority,Edge Case ID,Scenario,Expected Behavior,Status
"## LAUNCH BLOCKERS — P0 — must be closed before a production release",,,,,
Storage,P0,EC-002,"Persisted state blob is unparseable JSON after a partial write or manual edit","Discard the corrupt key and boot from a clean initial state within the same launch. Never enter a crash loop. Surface a one-time 'we could not restore your data' notice rather than failing silently.",Implemented
Storage,P0,EC-003,"Persisted blob carries a valid schemaVersion but a structurally invalid body","Validate the actual shape on every read rather than trusting the version field. Reject the payload and fall back to a clean state.",Implemented
Storage,P0,EC-004,"User stored mid-flow on the retired 'gender' onboarding step is upgraded from schema v1","Migrate the step to 'details' so a phone-verified user resumes at the correct screen. Never route a verified user back to step one.",Implemented
Storage,P0,EC-006,"Device storage read throws because storage is locked or unavailable","Raise a typed storage error. Render a recoverable boot error screen with a retry action. Never throw an unhandled exception through the render tree.",Implemented
Storage,P0,EC-007,"Storage write fails because the device is out of space","Reject the mutation with a typed storage error and tell the user the action did not persist. Never report success for a write that did not land.",Implemented
Storage,P0,EC-151,"App is deleted and reinstalled after a long streak","All state is device-local with no cloud backup, so a reinstall is a total loss of streak, contributions and Future You progress. Disclose this in onboarding and the logout dialog, and gate launch on a server-side account or an explicit export.",Pending
Storage,P0,EC-152,"Personally identifiable data is written to device storage in plaintext","Phone number, name and age must be stored in encrypted storage (Keychain or EncryptedSharedPreferences) rather than AsyncStorage before any production release.",Pending
Storage,P0,EC-153,"Storage is tampered with on a rooted or jailbroken device to inflate a streak","Streak, contribution and reward state must be authoritative server-side. Treat the local copy as a cache. Reject any client-supplied streak value on sync.",Pending
Storage,P0,EC-154,"Two devices sign in with the same number and write divergent local state","Resolve to a single server-authoritative record on sync using a deterministic rule such as union of contributions by day index. Never silently discard the losing device's contributions.",Pending
Money Engine,P0,EC-035,"A non-finite value reaches a currency label from a division or a corrupted restore","Clamp non-finite values to zero at the formatter so 'NaN' or 'Infinity' can never render on a money surface.",Verified
Money Engine,P0,EC-054,"Projection inputs contain NaN or Infinity","Substitute a safe fallback for every non-finite input before computing. Every emitted point and every summary figure must be finite.",Verified
Money Engine,P0,EC-055,"Chart requests a value from an empty projection series before data lands","Return zero rather than dereferencing an undefined index.",Verified
Time Machine,P0,EC-048,"Withdrawal lever exceeds total holdings","Cap the withdrawal at the available balance. The curve starts at zero and no point in the series is negative.",Verified
Time Machine,P0,EC-049,"Full liquidation drives the invested total below zero","Floor the invested total at zero so capital contributed never renders as a negative figure.",Verified
Time Machine,P0,EC-052,"A negative assumed rate is applied across a long horizon","Floor the balance at zero at every point. This product does not model a portfolio that owes money.",Verified
Borrow,P0,EC-038,"Borrow request exceeds the 50 percent loan-to-value ceiling","Reject with a non-retryable limit error carrying the requested and available amounts. Do not render a retry affordance for a request that can never succeed.",Verified
Borrow,P0,EC-037,"Portfolio value falls after a loan is taken so remaining capacity computes negative","Clamp available capacity at zero. Never present a negative borrowing offer.",Verified
Borrow,P0,EC-039,"Borrow submitted with an amount of zero or below","Reject at the API boundary with a validation error before any loan record is written.",Implemented
Wealth Streak,P0,EC-028,"Hold-to-invest gesture is released before the charge completes","Cancel the pending commit so no contribution is written and no money moves. Drain the charge indicator to zero.",Implemented
One Decision,P0,EC-068,"Commit response is lost after the change was accepted server-side and the user retries","Reuse the idempotency key minted before the first attempt so the server returns the original result. One SIP change must never be booked twice.",Implemented
One Decision,P0,EC-071,"SIP change is presented as successful before the write is confirmed","Advance to the success screen only after the commit resolves. Never confirm optimistically on a financial mutation.",Implemented
Network,P0,EC-065,"An unexpected exception escapes a request handler","Normalise anything thrown into a typed API error so the UI never receives a raw exception.",Implemented
Network,P0,EC-155,"Local queue and server disagree after reconnect because both changed while offline","Define and implement a conflict policy before launch: server wins for balances and SIP, union-by-day for contributions. Present any discarded local change to the user rather than dropping it silently.",Pending
Network,P0,EC-156,"Sync completes for some entities and fails for others","Apply sync transactionally per entity and record per-entity sync state. Never leave the UI showing a partially reconciled portfolio without an explicit 'partially synced' indicator.",Pending
Onboarding,P0,EC-081,"OTP screen is reached with no phone number in state via a deep link or cleared storage","Redirect to the phone step and reject the verify call at the API boundary. The user must never reach a dead-end form.",Implemented
Onboarding,P0,EC-082,"Phone number is persisted to disk but absent from the in-memory store","Fold the updated session into the store as part of the OTP challenge response so the next screen's guard does not bounce the user backwards.",Implemented
Onboarding,P0,EC-157,"The hard-coded mock OTP is present in a production build","Remove the mock code path and the on-screen code hint from any release build. Gate behind a build-time flag and fail the release pipeline if the constant is reachable.",Pending
Onboarding,P0,EC-158,"App has no re-authentication on relaunch","Require a biometric or PIN unlock before exposing balances, contributions or borrowing capacity in a production build.",Pending
Referral,P0,EC-159,"A user invites their own number or redeems their own invite code","Reject self-referral at the point of redemption by comparing the normalised inviter and invitee numbers. Do not credit either side.",Pending
Referral,P0,EC-160,"The same invitee is submitted against a code more than once","Enforce a uniqueness constraint on invitee identity per programme so a referral is credited exactly once regardless of retries.",Pending
Referral,P0,EC-161,"Referral rewards are shown as earned but never credited to the balance","Either credit the reward to the portfolio on tier completion or label the tier as pending fulfilment. Never display an earned reward the user cannot receive.",Pending
Profile/Menu,P0,EC-134,"Logout is triggered by thumb momentum after scrolling the menu","Separate the destructive row with a divider and require an explicit confirmation before any data is cleared.",Implemented
Profile/Menu,P0,EC-135,"Logout wipes device-local data with no server-side account to restore from","State plainly in the confirmation that streak, contributions and Future You live on this device and will be cleared. Do not imply the session can be restored.",Implemented
